method,scenario,alpha,n_splits,feasible_fraction,selected_margin_mode,selected_margin_counts,test_false_safe_rate_given_unsafe_mean,test_false_safe_rate_given_unsafe_max,test_false_safe_rate_among_accepted_mean,test_accepted_coverage_mean
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0.01,1,1.0,0.5,0.5:1,0.020833333333333332,0.020833333333333332,0.020048115477145148,0.33931972789115644
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0.02,1,1.0,0.5,0.5:1,0.020833333333333332,0.020833333333333332,0.020048115477145148,0.33931972789115644
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0.05,1,1.0,0.5,0.5:1,0.020833333333333332,0.020833333333333332,0.020048115477145148,0.33931972789115644
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0.1,1,1.0,0.25,0.25:1,0.08083333333333333,0.08083333333333333,0.05623188405797101,0.46938775510204084
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,0.01,33,0.0,,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,0.02,33,1.0,0.75,0.75:33,0.0,0.0,0.0,0.16400604398237997
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,0.05,33,1.0,0.5,0.5:17; 0.75:16,0.028270697167755987,0.24,0.07105126203486858,0.28563862775957144
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,0.1,33,1.0,0.5,0.25:3; 0.5:30,0.07138665055063122,0.52,0.09009888108248763,0.3956165519073265
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0.01,50,1.0,0.5,0.5:45; 0.75:5,0.003990558004707586,0.006678383128295255,0.002545383691605332,0.403218171406757
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0.02,50,1.0,0.5,0.5:50,0.004449793048159175,0.006322444678609062,0.002840177704926451,0.4254437869822485
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0.05,50,1.0,0.5,0.5:50,0.004563802709554831,0.007024938531787847,0.002906489427440484,0.4262989120061081
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0.1,50,1.0,0.25,0.25:50,0.0483931768943002,0.055517002081887576,0.02254114535672179,0.5828726856270281
empirical_no_finite_correction,domain_blocked_rc_wall_to_esm,0.01,1,1.0,0.5,0.5:1,0.020833333333333332,0.020833333333333332,0.020048115477145148,0.33931972789115644
empirical_no_finite_correction,domain_blocked_rc_wall_to_esm,0.02,1,1.0,0.5,0.5:1,0.020833333333333332,0.020833333333333332,0.020048115477145148,0.33931972789115644
empirical_no_finite_correction,domain_blocked_rc_wall_to_esm,0.05,1,1.0,0.25,0.25:1,0.08083333333333333,0.08083333333333333,0.05623188405797101,0.46938775510204084
empirical_no_finite_correction,domain_blocked_rc_wall_to_esm,0.1,1,1.0,0.25,0.25:1,0.08083333333333333,0.08083333333333333,0.05623188405797101,0.46938775510204084
empirical_no_finite_correction,event_blocked_esm_leave_one_event,0.01,33,1.0,0.75,0.5:2; 0.75:31,0.01347222222222222,0.24,0.027417027417027413,0.18023801543823204
empirical_no_finite_correction,event_blocked_esm_leave_one_event,0.02,33,1.0,0.75,0.5:14; 0.75:19,0.028270697167755987,0.24,0.07105126203486858,0.2490250055393448
empirical_no_finite_correction,event_blocked_esm_leave_one_event,0.05,33,1.0,0.5,0.25:1; 0.5:32,0.04138665055063121,0.48,0.07898776997137653,0.37316986279397074
empirical_no_finite_correction,event_blocked_esm_leave_one_event,0.1,33,1.0,0.25,0.0:1; 0.1:2; 0.25:28; 0.5:2,0.23659068766262656,1.0,0.11062201781471553,0.5403245349660473
empirical_no_finite_correction,exchangeable_retained_rc_wall,0.01,50,1.0,0.5,0.5:50,0.004343691697060719,0.006028368794326241,0.002763290535634185,0.42629700324489406
empirical_no_finite_correction,exchangeable_retained_rc_wall,0.02,50,1.0,0.5,0.5:50,0.0043887334579782895,0.00632688927943761,0.002794228385285953,0.4262435579309028
empirical_no_finite_correction,exchangeable_retained_rc_wall,0.05,50,1.0,0.25,0.25:36; 0.5:14,0.03690887502958689,0.05606488011283498,0.017260764811419013,0.5402405039129604
empirical_no_finite_correction,exchangeable_retained_rc_wall,0.1,50,1.0,0.25,0.25:50,0.048503778827025085,0.055023074192403265,0.02255166825656417,0.5834720366482152
