family,surrogate,engine,tau,margin,n,n_unsafe,n_accepted,n_false_safe,coverage,fs_among_unsafe
rc_wall,classical_GBM,opensees_calib720,0.02,0.0,120,40,38,2,0.31666666666666665,0.05
rc_wall,classical_GBM,opensees_calib720,0.02,0.25,120,40,26,1,0.21666666666666667,0.025
rc_wall,classical_GBM,opensees_calib720,0.02,0.5,120,40,15,0,0.125,0.0
rc_wall,classical_GBM,opensees_calib720,0.02,0.75,120,40,3,0,0.025,0.0
rcf_low,classical_GBM,opensees_calib720,0.02,0.0,120,54,63,11,0.525,0.2037037037037037
rcf_low,classical_GBM,opensees_calib720,0.02,0.25,120,54,51,7,0.425,0.12962962962962962
rcf_low,classical_GBM,opensees_calib720,0.02,0.5,120,54,30,3,0.25,0.05555555555555555
rcf_low,classical_GBM,opensees_calib720,0.02,0.75,120,54,13,0,0.10833333333333334,0.0
rcf_mid,classical_GBM,opensees_calib720,0.02,0.0,120,58,45,7,0.375,0.1206896551724138
rcf_mid,classical_GBM,opensees_calib720,0.02,0.25,120,58,32,4,0.26666666666666666,0.06896551724137931
rcf_mid,classical_GBM,opensees_calib720,0.02,0.5,120,58,25,2,0.20833333333333334,0.034482758620689655
rcf_mid,classical_GBM,opensees_calib720,0.02,0.75,120,58,15,2,0.125,0.034482758620689655
rcf_tall,classical_GBM,opensees_calib720,0.02,0.0,120,44,60,10,0.5,0.22727272727272727
rcf_tall,classical_GBM,opensees_calib720,0.02,0.25,120,44,49,5,0.4083333333333333,0.11363636363636363
rcf_tall,classical_GBM,opensees_calib720,0.02,0.5,120,44,36,1,0.3,0.022727272727272728
rcf_tall,classical_GBM,opensees_calib720,0.02,0.75,120,44,18,0,0.15,0.0
steel_frame,classical_GBM,opensees_calib720,0.02,0.0,120,66,72,21,0.6,0.3181818181818182
steel_frame,classical_GBM,opensees_calib720,0.02,0.25,120,66,62,15,0.5166666666666667,0.22727272727272727
steel_frame,classical_GBM,opensees_calib720,0.02,0.5,120,66,42,8,0.35,0.12121212121212122
steel_frame,classical_GBM,opensees_calib720,0.02,0.75,120,66,9,0,0.075,0.0
steel_braced,classical_GBM,opensees_calib720,0.02,0.0,120,46,74,8,0.6166666666666667,0.17391304347826086
steel_braced,classical_GBM,opensees_calib720,0.02,0.25,120,46,60,4,0.5,0.08695652173913043
steel_braced,classical_GBM,opensees_calib720,0.02,0.5,120,46,46,2,0.38333333333333336,0.043478260869565216
steel_braced,classical_GBM,opensees_calib720,0.02,0.75,120,46,16,0,0.13333333333333333,0.0
