family,margin,n_unsafe,n_acc,n_fs,fs_unsafe,fs_unsafe_ci,fs_accepted,fs_accepted_ci
rc_wall,0.0,40,38,2,0.05,"[0.006,0.169]",0.05263157894736842,"[0.006,0.177]"
rc_wall,0.5,40,15,0,0.0,"[0.000,0.088]",0.0,"[0.000,0.218]"
rc_wall,0.75,40,3,0,0.0,"[0.000,0.088]",0.0,"[0.000,0.708]"
rcf_low,0.0,54,63,11,0.2037037037037037,"[0.106,0.335]",0.1746031746031746,"[0.091,0.291]"
rcf_low,0.5,54,30,3,0.05555555555555555,"[0.012,0.154]",0.1,"[0.021,0.265]"
rcf_low,0.75,54,13,0,0.0,"[0.000,0.066]",0.0,"[0.000,0.247]"
rcf_mid,0.0,58,45,7,0.1206896551724138,"[0.050,0.233]",0.15555555555555556,"[0.065,0.295]"
rcf_mid,0.5,58,25,2,0.034482758620689655,"[0.004,0.119]",0.08,"[0.010,0.260]"
rcf_mid,0.75,58,15,2,0.034482758620689655,"[0.004,0.119]",0.13333333333333333,"[0.017,0.405]"
rcf_tall,0.0,44,60,10,0.22727272727272727,"[0.115,0.378]",0.16666666666666666,"[0.083,0.285]"
rcf_tall,0.5,44,36,1,0.022727272727272728,"[0.001,0.120]",0.027777777777777776,"[0.001,0.145]"
rcf_tall,0.75,44,18,0,0.0,"[0.000,0.080]",0.0,"[0.000,0.185]"
steel_frame,0.0,66,72,21,0.3181818181818182,"[0.209,0.444]",0.2916666666666667,"[0.190,0.411]"
steel_frame,0.5,66,42,8,0.12121212121212122,"[0.054,0.225]",0.19047619047619047,"[0.086,0.341]"
steel_frame,0.75,66,9,0,0.0,"[0.000,0.054]",0.0,"[0.000,0.336]"
steel_braced,0.0,46,74,8,0.17391304347826086,"[0.078,0.314]",0.10810810810810811,"[0.048,0.202]"
steel_braced,0.5,46,46,2,0.043478260869565216,"[0.005,0.148]",0.043478260869565216,"[0.005,0.148]"
steel_braced,0.75,46,16,0,0.0,"[0.000,0.077]",0.0,"[0.000,0.206]"
