source_distribution,target_distribution,metric,source_n,target_n,source_mean,target_mean,source_median,target_median,standardized_mean_difference_target_minus_source,ks_statistic,overlap_coefficient_histogram
local_P695_scaled_analysis_all_sets,ESM_scaled_holdout_analysis,pga_g,720,100,0.44092657303240734,1.155082003995776,0.3555606249999999,1.0037185549736023,1.6796459433240154,0.48694444444444446,0.49666666666666665
local_P695_scaled_analysis_all_sets,ESM_scaled_holdout_analysis,sa_t1_g,720,100,0.2898907753580377,0.21623760473901757,0.1593424596856552,0.11374706187750305,-0.19937932642955303,0.13916666666666666,0.7705555555555555
local_P695_scaled_analysis_all_sets,ESM_scaled_holdout_analysis,significant_duration_d5_95_s,720,100,12.589032824058439,10.253706206554915,10.71695249305302,5.894206886573148,-0.3486128863491542,0.4869444444444444,0.32305555555555554
local_P695_scaled_analysis_all_sets,ESM_scaled_holdout_analysis,arias_intensity_m_s,720,100,3.400000003865143,14.724032930675854,1.4816389467161115,6.429327185199801,1.2606455338364777,0.37833333333333335,0.6375000000000001
local_P695_scaled_analysis_all_sets,ESM_scaled_holdout_analysis,fourier_mean_period_s,720,100,0.685670227737579,0.550051691192743,0.5982129514279957,0.4719738917814757,-0.46556653321517505,0.29583333333333334,0.5302777777777777
local_P695_scaled_analysis_farfield_only,ESM_scaled_holdout_analysis,pga_g,308,100,0.3683482543831169,1.155082003995776,0.30236474999999996,1.0037185549736023,1.7187860950627132,0.5576623376623376,0.4461038961038961
local_P695_scaled_analysis_farfield_only,ESM_scaled_holdout_analysis,sa_t1_g,308,100,0.2601748847470087,0.21623760473901757,0.13051281115770014,0.11374706187750305,-0.1250920108580857,0.09935064935064936,0.7929870129870129
local_P695_scaled_analysis_farfield_only,ESM_scaled_holdout_analysis,significant_duration_d5_95_s,308,100,12.70403820377244,10.253706206554915,10.804079616907295,5.894206886573148,-0.3187792704501661,0.4566233766233766,0.3218181818181818
local_P695_scaled_analysis_farfield_only,ESM_scaled_holdout_analysis,arias_intensity_m_s,308,100,2.3590690966772563,14.724032930675854,1.0525367529634795,6.429327185199801,1.1326883757009027,0.44337662337662337,0.5909090909090908
local_P695_scaled_analysis_farfield_only,ESM_scaled_holdout_analysis,fourier_mean_period_s,308,100,0.5865133595504788,0.550051691192743,0.5502357115509852,0.4719738917814757,-0.1955666302568175,0.28740259740259744,0.45051948051948043
