distribution,metric,n,mean,sd,median,q25,q75,min,max
local_P695_scaled_analysis_all_sets,pga_g,720,0.44092657303240734,0.3496174081240206,0.3555606249999999,0.1791394875,0.5671718,0.02998,2.1343475
local_P695_scaled_analysis_all_sets,sa_t1_g,720,0.2898907753580377,0.38519089789665817,0.1593424596856552,0.0674832052362428,0.32699220272789176,0.0028404911187057,3.282563171261828
local_P695_scaled_analysis_all_sets,significant_duration_d5_95_s,720,12.589032824058439,6.554081528839973,10.71695249305302,8.52907441967558,15.00473948629906,4.208957593900479,44.98147014931823
local_P695_scaled_analysis_all_sets,arias_intensity_m_s,720,3.400000003865143,5.497045065011352,1.4816389467161115,0.40379923599225387,3.8727096344350063,0.0088256263729674,45.40025805390763
local_P695_scaled_analysis_all_sets,fourier_mean_period_s,720,0.685670227737579,0.2996719324164568,0.5982129514279957,0.4772262188338753,0.8206134002935326,0.2331493609171292,1.7332428911291158
local_P695_scaled_analysis_farfield_only,pga_g,308,0.3683482543831169,0.2857620087888691,0.30236474999999996,0.1532095375,0.5100082499999999,0.02998,1.644858
local_P695_scaled_analysis_farfield_only,sa_t1_g,308,0.2601748847470087,0.3834470472012661,0.13051281115770014,0.0563094218043144,0.31228942364264417,0.0029497439123236,3.282563171261828
local_P695_scaled_analysis_farfield_only,significant_duration_d5_95_s,308,12.70403820377244,7.692241076457103,10.804079616907295,8.697050799568217,13.20413555574765,4.208957593900479,44.98147014931823
local_P695_scaled_analysis_farfield_only,arias_intensity_m_s,308,2.3590690966772563,3.6568052052661892,1.0525367529634795,0.2415074333354643,2.9806784317536534,0.0088256263729674,30.495315813478765
local_P695_scaled_analysis_farfield_only,fourier_mean_period_s,308,0.5865133595504788,0.17377112667424205,0.5502357115509852,0.47271121075350697,0.6585366228145897,0.3181773982586156,1.0487298392142683
ESM_scaled_holdout_analysis,pga_g,100,1.155082003995776,0.7784526331146239,1.0037185549736023,0.48104758560657496,1.7165290117263794,0.0714531391859054,3.07432222366333
ESM_scaled_holdout_analysis,sa_t1_g,100,0.21623760473901757,0.2235894736193347,0.11374706187750305,0.04992039659434842,0.32385868481584634,0.0089767883587014,0.9542699313925438
ESM_scaled_holdout_analysis,significant_duration_d5_95_s,100,10.253706206554915,7.669122576471692,5.894206886573148,3.887543987896068,18.861042387546057,2.4865192400109244,30.49346058452456
ESM_scaled_holdout_analysis,arias_intensity_m_s,100,14.724032930675854,21.14822874744961,6.429327185199801,1.228172421860494,17.5579227081275,0.1179622566058302,82.48080378039795
ESM_scaled_holdout_analysis,fourier_mean_period_s,100,0.550051691192743,0.22116284311044507,0.4719738917814757,0.37968873717577867,0.6966817855244501,0.2398996423927602,1.1826231678813732
